Session,Driver,Track,Stint,Variable,Label,N_Laps,ADF_Statistic,ADF_p_value,ADF_Lags,ADF_Crit_1pct,ADF_Stationary,KPSS_Statistic,KPSS_p_value,KPSS_Lags,KPSS_Crit_5pct,KPSS_Stationary,Verdict
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,LapTime_s,Lap Time (s),36,-1.5216,0.821611,2.0,-4.2629,False,0.1304,0.078922,3.0,0.146,True,Trend-Stationary
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,Mean_TotalG,Mean Total G-Force (G),36,-4.8979,0.000314,0.0,-4.2438,True,0.11,0.1,2.0,0.146,True,Stationary
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,Std_TotalG,Std Dev Total G-Force (G),36,-5.6727,1e-05,1.0,-4.253,True,0.2303,0.01,15.0,0.146,False,Difference-Stationary
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,Mean_Speed_KPH,Mean Speed (km/h),36,-1.2783,0.893191,2.0,-4.2629,False,0.1334,0.073413,3.0,0.146,True,Trend-Stationary
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,Mean_Throttle_Pct,Mean Throttle (%),36,-4.628,0.000925,0.0,-4.2438,True,0.1403,0.060476,2.0,0.146,True,Stationary
Driver A | charlotte_roval_2025 | stint_2,Driver A,charlotte_roval_2025,stint_2,Mean_Brake_Pct,Mean Brake (%),36,-3.9444,0.010532,7.0,-4.3245,True,0.0547,0.1,1.0,0.146,True,Stationary
Driver B | charlotte_roval_2025 | stint_1,Driver B,charlotte_roval_2025,stint_1,LapTime_s,Lap Time (s),25,-4.2446,0.00383,0.0,-4.395,True,0.0642,0.1,0.0,0.146,True,Stationary
Driver B | charlotte_roval_2025 | stint_1,Driver B,charlotte_roval_2025,stint_1,Mean_TotalG,Mean Total G-Force (G),25,-6.1061,1e-06,6.0,-4.5725,True,0.1791,0.023856,2.0,0.146,False,Difference-Stationary
Driver B | charlotte_roval_2025 | stint_1,Driver B,charlotte_roval_2025,stint_1,Std_TotalG,Std Dev Total G-Force (G),25,0.082,0.994975,9.0,-4.7284,False,0.5,0.01,24.0,0.146,False,Non-Stationary
Driver B | charlotte_roval_2025 | stint_1,Driver B,charlotte_roval_2025,stint_1,Mean_Speed_KPH,Mean Speed (km/h),25,-4.2823,0.003352,0.0,-4.395,True,0.0479,0.1,1.0,0.146,True,Stationary
Driver B | charlotte_roval_2025 | stint_1,Driver B,charlotte_roval_2025,stint_1,Mean_Throttle_Pct,Mean Throttle (%),25,-4.3984,0.002203,0.0,-4.395,True,0.0911,0.1,1.0,0.146,True,Stationary
