Driver,Tomaz Nunes
Vehicle,mx5 mx52016
Venue,charlotte 2018 2019 roval
Session,Practice
Session Date,02/08/2025
Session Time,13:07:56
Sample Rate,360,Hz
Session Duration,4.25,s

AirTemp,AirDensity,LapBestNLapLap,LFwearL,Alt,MemSoftPageFaultSec,LFtempM,LFpressure,RFodometer,AirPressure,Brake,Clutch,BrakeABSactive,TrackTempCrew,BrakeABScutPct,BrakeRaw,ClutchRaw,LFwearR,CarDistAhead,LRTiresAvailable,CarDistBehind,PlayerTrackSurfaceMaterial,ChanAvgLatency,RRTiresAvailable,LRTiresUsed,RearTireSetsAvailable,ChanClockSkew,CpuUsageFG,ChanLatency,LapDist,LapDeltaToSessionBestLap,ChanPartnerQuality,SteeringWheelAngleMax,LRcoldPressure,ChanQuality,SteeringWheelLimiter,LFtempL,LapDeltaToBestLap_OK,CpuUsageBG,LFTiresUsed,IsOnTrack,LRtempR,FastRepairAvailable,P2P_Count,DriverMarker,IsOnTrackCar,Engine0_RPM,dpFuelAddKg,LapBestNLapTime,EngineWarnings,EnterExitReset,FastRepairUsed,FogLevel,LFbrakeLinePress,FrameRate,LFtempCL,SessionFlags,FrontTireSetsAvailable,Gear,LFshockDefl,FrontTireSetsUsed,FuelLevel,LRpressure,RFcoldPressure,FuelLevelPct,RRcoldPressure,LFtempCR,FuelPress,FuelUsePerHour,GpuUsage,HandbrakeRaw,LRtempCM,LFTiresAvailable,LFcoldPressure,RFtempCR,ManualBoost,LFodometer,LFrideHeight,LFshockVel,LFspeed,LFtempCM,LFtempR,RightTireSetsUsed,LFwearM,LRbrakeLinePress,dpLRTireColdPress,RRpressure,LRodometer,LRrideHeight,YawRate,LRshockDefl,LRshockVel,LRspeed,LRtempCL,LRtempCR,TrackWetness,LRtempL,LapDeltaToBestLap,LRtempM,LRwearL,LRwearM,SteeringWheelPctTorque,LRwearR,Lap,TireRR_RumblePitch,LapBestLap,LapBestLapTime,PitOptRepairLeft,LapCompleted,LapCurrentLapTime,LapDeltaToSessionBestLap_OK,LapDeltaToBestLap_DD,LapDeltaToOptimalLap,LapDeltaToOptimalLap_DD,LapDeltaToOptimalLap_OK,LapDeltaToSessionBestLap_DD,WaterLevel,LapDeltaToSessionLastlLap,LapDeltaToSessionLastlLap_DD,Voltage,LapDeltaToSessionLastlLap_OK,LapDeltaToSessionOptimalLap,dpFuelAutoFillActive,PlayerCarPosition,PlayerCarClassPosition,PitSvRFP,LapDeltaToSessionOptimalLap_DD,LapDeltaToSessionOptimalLap_OK,LapDistPct,SteeringWheelPctTorqueSignStops,RRshockVel,LapLasNLapSeq,LapLastLapTime,LapLastNLapTime,Roll,Lat,LatAccel,LeftTireSetsAvailable,RRtempM,LeftTireSetsUsed,SessionTime,PitRepairLeft,Lon,PlayerCarMyIncidentCount,LongAccel,ManifoldPress,ManualNoBoost,dpRRTireColdPress,MemPageFaultSec,OilLevel,OilPress,OilTemp,dcTriggerWindshieldWipers,SessionTimeOfDay,OnPitRoad,ShiftGrindRPM,P2P_Status,SteeringWheelUseLinear,PaceMode,PitSvFlags,PitSvLRP,PitSvFuel,PitSvLFP,RightTireSetsAvailable,PitSvRRP,PitSvTireCompound,Pitch,dpRRTireChange,PitchRate,PitsOpen,PlayerCarTeamIncidentCount,PitstopActive,PlayerCarClass,TireSetsAvailable,PlayerCarDriverIncidentCount,PlayerCarDryTireSetLimit,PlayerCarIdx,PlayerCarPowerAdjust,PlayerCarInPitStall,RFshockDefl,PlayerCarPitSvStatus,PlayerCarTowTime,PlayerCarWeightPenalty,PlayerFastRepairsUsed,SteeringWheelPctTorqueSign,PlayerIncidents,PlayerTireCompound,dpFastRepair,PlayerTrackSurface,RFwearR,Precipitation,PushToPass,PushToTalk,RFTiresAvailable,RFTiresUsed,RFbrakeLinePress,RFpressure,RFrideHeight,RFshockVel,RFspeed,RFtempCL,RFtempCM,RFtempL,RFtempM,RFtempR,RFwearL,RFwearM,RPM,RRTiresUsed,RRbrakeLinePress,RRodometer,RRrideHeight,RRshockDefl,RRspeed,RRtempCL,RRtempCM,WindVel,RRtempCR,RRtempL,RRtempR,RRwearL,dpLRTireChange,RRwearM,RRwearR,RearTireSetsUsed,RelativeHumidity,RollRate,dpFuelFill,SteeringWheelAngle,SessionJokerLapsRemain,SessionLapsRemain,SessionLapsRemainEx,SessionLapsTotal,SessionNum,SessionOnJokerLap,SessionState,SessionTick,SessionTimeRemain,SessionTimeTotal,SessionUniqueID,ShiftIndicatorPct,ShiftPowerPct,Shifter,Skies,SolarAltitude,SolarAzimuth,Speed,SteeringWheelMaxForceNm,SteeringWheelPctDamper,SteeringWheelPctIntensity,SteeringWheelPctSmoothing,SteeringWheelTorque,SteeringWheelTorque_ST,Throttle,ThrottleRaw,TireLF_RumblePitch,TireLR_RumblePitch,TireRF_RumblePitch,TireSetsUsed,TrackTemp,VelocityX,VelocityY,VelocityZ,VertAccel,WaterTemp,WeatherDeclaredWet,WindDir,Yaw,YawNorth,dcPitSpeedLimiterToggle,dcStarter,dcToggleWindshieldWipers,dpFuelAutoFillEnabled,dpLFTireChange,dpLFTireColdPress,dpRFTireChange,dpRFTireColdPress,dpWindshieldTearoff
C,kg/m^3,,%,m,,C,kPa,m,Pa,%,%,,C,%,%,%,%,m,,m,irsdk_TrkSurf,s,,,,s,%,s,m,s,%,rad,kPa,%,%,C,,%,,,C,,,,,rpm,kg,s,irsdk_EngineWarnings,,,%,bar,fps,C,irsdk_Flags,,,m,,l,kPa,kPa,%,kPa,C,bar,kg/h,%,%,C,,kPa,C,,m,m,m/s,m/s,C,C,,%,bar,Pa,kPa,m,m,rad/s,m,m/s,m/s,C,C,irsdk_TrackWetness,C,s,C,%,%,%,%,,Hz,,s,s,,s,,s/s,s,s/s,,s/s,l,s,s/s,V,,s,,,,kPa,s/s,,%,%,m/s,,s,s,rad,deg,G,,C,,s,s,deg,,G,bar,,Pa,,l,bar,C,,s,,RPM,,,irsdk_PaceMode,irsdk_PitSvFlags,kPa,l or kWh,kPa,,kPa,,rad,,rad/s,,,,,,,,,%,,m,irsdk_PitSvStatus,s,kg,,%,irsdk_IncidentFlags,,,irsdk_TrkLoc,%,%,,,,,bar,kPa,m,m/s,m/s,C,C,C,C,C,%,%,rpm,,bar,m,m,m,m/s,C,C,m/s,C,C,C,%,,%,%,,%,rad/s,,rad,,,,,,,irsdk_SessionState,,s,s,,%,%,,,rad,rad,m/s,Nm,%,%,%,Nm,Nm,%,%,Hz,Hz,Hz,,C,m/s,m/s,m/s,G,C,,rad,rad,rad,,,,,,Pa,,Pa,

30.832,1.14425,0,99.3127,206.348,0,36.8284,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.1334,0.2,242.785,0,100,17.2786,206.843,99.8356,0,36.8284,0,17.1,1,1,36.8285,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.2813,42.9419,268763136,1,0,0.105165,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.162607,0.345171,0.0391268,43.4166,36.8284,1,99.3006,50.8689,206.843,206.843,0,0.162858,-0.00568237,0.108792,0.297192,0.0206987,43.4596,46.5959,1,36.8284,0,36.8285,99.1916,98.773,1.34452,98.7563,2,0,-1,-1,0,1,234.721,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74662,0.444264,0.00357055,0,-1,0,0.0109863,35.3507252589295,0.0484149,1,36.8289,1,1075.98329671179,0,-80.6852869704116,6,0.0678178,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0127781,0,0.0211492,1,6,0,74,1,6,0,0,0,1,0.105575,0,0,0,0,1.34452,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.163406,0.32601,0.00359678,41.2626,38.9742,36.8285,36.8285,36.8285,99.7083,99.9531,300,1,50.8689,0,0.159556,0.116607,0.0701751,44.7811,42.5195,0.932709,38.8502,36.8289,36.8288,99.1525,0,99.3217,99.9278,1,32.7086,0.0102844,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.03336995488,3600,1,100,0,0,2,1.16084,2.32569,0.010153,18.4382,0,50,0,0.247906,0.310243,0,0,0,0,0,1,45,0.00815728,0.00604502,-0.36374,0.342276,77,0,4.83939,-9.91588e-05,3.42195,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8282,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.2966,0.2,242.785,0,100,17.2786,206.843,99.8171,0,36.8282,0,17.0833,1,1,36.8283,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.2285,42.9419,268763136,1,0,0.106143,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.16148,0.338693,0.0385063,43.4166,36.8282,1,99.3006,50.8689,206.843,206.843,0,0.161783,-0.00565612,0.109759,0.311852,0.0212357,43.4596,46.5959,1,36.8282,0,36.8283,99.1916,98.773,1.19729,98.7563,2,0,-1,-1,0,1,234.724,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74662,0.395704,0.0623722,0,-1,0,0.0110672,35.3507252589295,0.0340911,1,36.8288,1,1075.98607448957,0,-80.6852869704116,6,0.0694595,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0127478,0,0.0180437,1,6,0,74,1,6,0,0,0,1,0.106495,0,0,0,0,1.19729,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.162209,0.322801,0.00340215,41.2626,38.9742,36.8283,36.8283,36.8283,99.7083,99.9531,300,1,50.8689,0,0.158397,0.116958,0.0619928,44.7811,42.5195,0.932748,38.8502,36.8288,36.8286,99.1525,0,99.3217,99.9278,1,32.7086,0.0149742,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.0305921771,3600,1,100,0,0,2,1.16084,2.32569,0.0115622,18.4382,0,50,0,0.220759,0.322746,0,0,0,0,0,1,45,0.00982252,0.00572239,-0.378474,0.374697,77,0,4.83945,-0.000115344,3.42196,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.828,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.4597,0.2,242.785,0,100,17.2786,206.843,99.7987,0,36.828,0,17.0667,1,1,36.8281,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.1757,42.9419,268763136,1,0,0.107121,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.160353,0.332216,0.0378857,43.4166,36.828,1,99.3006,50.8689,206.843,206.843,0,0.160709,-0.00562986,0.110726,0.326513,0.0217726,43.4596,46.5959,1,36.828,0,36.8281,99.1916,98.773,1.05007,98.7563,2,0,-1,-1,0,1,234.727,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74662,0.347144,0.121174,0,-1,0,0.0111482,35.3507252589295,0.0197673,1,36.8286,1,1075.98885226735,0,-80.6852869704116,6,0.0711012,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0127175,0,0.0149383,1,6,0,74,1,6,0,0,0,1,0.107414,0,0,0,0,1.05007,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.161012,0.319593,0.00320752,41.2626,38.9742,36.8281,36.8281,36.8281,99.7083,99.9531,300,1,50.8689,0,0.157239,0.117309,0.0538104,44.7811,42.5195,0.932787,38.8502,36.8286,36.8284,99.1525,0,99.3217,99.9278,1,32.7086,0.019664,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.02781439932,3600,1,100,0,0,2,1.16084,2.32569,0.0129714,18.4382,0,50,0,0.193613,0.324521,0,0,0,0,0,1,45,0.0114878,0.00539975,-0.393208,0.407117,77,0,4.83952,-0.000131529,3.42198,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8278,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.6228,0.2,242.786,0,100,17.2786,206.843,99.7802,0,36.8278,0,17.05,1,1,36.828,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.123,42.9419,268763136,1,0,0.108099,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.159225,0.325738,0.0372652,43.4166,36.8278,1,99.3006,50.8689,206.843,206.843,0,0.159634,-0.0056036,0.111694,0.341173,0.0223096,43.4596,46.5959,1,36.8278,0,36.828,99.1916,98.773,0.902839,98.7563,2,0,-1,-1,0,1,234.73,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74663,0.298584,0.179975,0,-1,0,0.0112292,35.3507252589295,0.00544354,1,36.8284,1,1075.99163004512,0,-80.6852869704116,6,0.0727428,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0126871,0,0.0118328,1,6,0,74,1,6,0,0,0,1,0.108334,0,0,0,0,0.902839,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.159814,0.316384,0.0030129,41.2626,38.9742,36.8279,36.8279,36.8279,99.7083,99.9531,300,1,50.8689,0,0.15608,0.11766,0.0456281,44.7811,42.5195,0.932826,38.8502,36.8284,36.8282,99.1525,0,99.3217,99.9278,1,32.7086,0.0243538,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.02503662154,3600,1,100,0,0,2,1.16084,2.32569,0.0143806,18.4382,0,50,0,0.166467,0.304456,0,0,0,0,0,1,45,0.013153,0.00507712,-0.407942,0.439538,77,0,4.83958,-0.000147714,3.42199,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8276,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.786,0.2,242.786,0,100,17.2786,206.843,99.7618,0,36.8276,0,17.0333,1,1,36.8278,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.0702,42.9419,268763136,1,0,0.109077,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.158098,0.319261,0.0366447,43.4166,36.8276,1,99.3006,50.8689,206.843,206.843,0,0.158559,-0.00557734,0.112661,0.355833,0.0228465,43.4596,46.5959,1,36.8276,0,36.8278,99.1916,98.773,0.755611,98.7563,2,0,-1,-1,0,1,234.732,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74663,0.250025,0.238777,0,-1,0,0.0113101,35.3507252589295,-0.00888025,1,36.8282,1,1075.9944078229,0,-80.6852869704116,6,0.0743846,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0126568,0,0.00872727,1,6,0,74,1,6,0,0,0,1,0.109253,0,0,0,0,0.755611,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.158617,0.313176,0.00281827,41.2626,38.9742,36.8277,36.8277,36.8277,99.7083,99.9531,300,1,50.8689,0,0.154922,0.118011,0.0374457,44.7811,42.5195,0.932864,38.8502,36.8282,36.8281,99.1525,0,99.3217,99.9278,1,32.7086,0.0290435,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.02225884377,3600,1,100,0,0,2,1.16084,2.32569,0.0157897,18.4382,0,50,0,0.139321,0.28172,0,0,0,0,0,1,45,0.0148182,0.00475448,-0.422676,0.471958,77,0,4.83965,-0.000163899,3.42201,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8274,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,34.9491,0.2,242.786,0,100,17.2786,206.843,99.7434,0,36.8274,0,17.0167,1,1,36.8276,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,75.0174,42.9419,268763136,1,0,0.110055,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.156971,0.312783,0.0360241,43.4166,36.8275,1,99.3006,50.8689,206.843,206.843,0,0.157485,-0.00555108,0.113628,0.370494,0.0233835,43.4596,46.5959,1,36.8274,0,36.8276,99.1916,98.773,0.608383,98.7563,2,0,-1,-1,0,1,234.735,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74663,0.201465,0.297579,0,-1,0,0.0113911,35.3507252589295,-0.0232041,1,36.828,1,1075.99718560068,0,-80.6852869704116,6,0.0760263,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0126264,0,0.00562178,1,6,0,74,1,6,0,0,0,1,0.110173,0,0,0,0,0.608383,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.15742,0.309967,0.00262364,41.2626,38.9742,36.8275,36.8275,36.8275,99.7083,99.9531,300,1,50.8689,0,0.153763,0.118362,0.0292634,44.7811,42.5195,0.932903,38.8502,36.828,36.8279,99.1525,0,99.3217,99.9278,1,32.7086,0.0337333,0,-2.73312,0,32767,32767,32767,0,0,4,41094,2524.01948106599,3600,1,100,0,0,2,1.16084,2.32569,0.0171989,18.4382,0,50,0,0.112175,0.247906,0,0,0,0,0,1,45,0.0164835,0.00443184,-0.437409,0.504379,77,0,4.83971,-0.000180084,3.42203,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8272,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.182474,1,1,1,-0.0166667,35.1122,0.2,242.786,0,100,17.2786,206.843,99.7249,0,36.8271,0,17,1,1,36.8274,0,0,0,1,0,44.9867,0,28,1,0,0,96.2268,74.9647,42.9419,268763136,1,0,0.111032,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.0449,0,45.8949,1,206.843,38.5048,0,0,0.155843,0.306306,0.0354036,43.4166,36.8273,1,99.3006,50.8689,206.843,206.843,0,0.15641,-0.00552483,0.114595,0.385154,0.0239204,43.4596,46.5959,1,36.8272,0,36.8274,99.1916,98.773,0.461155,98.7563,2,0,-1,-1,0,1,234.738,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74663,0.152905,0.35638,0,-1,0,0.011472,35.3507252589295,-0.0375278,1,36.8278,1,1075.99996337846,0,-80.6852869704116,6,0.077668,1.0039,0,206.843,0,6.4,0,77,0,44275,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0125961,0,0.0025163,1,6,0,74,1,6,0,0,0,1,0.111092,0,0,0,0,0.461155,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.156223,0.306759,0.00242901,41.2626,38.9742,36.8273,36.8273,36.8273,99.7083,99.9531,300,1,50.8689,0,0.152605,0.118713,0.0210811,44.7811,42.5195,0.932942,38.8502,36.8278,36.8277,99.1525,0,99.3217,99.9278,1,32.7086,0.0384231,0,-2.73312,0,32767,32767,32767,0,0,4,41095,2524.01670328821,3600,1,100,0,0,2,1.16084,2.32569,0.0186081,18.4382,0,50,0,0.0850285,0.193377,0,0,0,0,0,1,45,0.0181487,0.00410921,-0.452143,0.5368,77,0,4.83977,-0.000196269,3.42204,0,0,0,0,0,206.843,0,206.843,0
30.832,1.14425,0,99.3127,206.348,0,36.8271,206.843,0,100393,100,0,0,45,100,0,100,99.2896,500000,1,500000,5,0.18249,1,1,1,-0.0138889,35.1879,0.2,242.786,0,100,17.2786,206.843,99.7618,0,36.8269,0,17,1,1,36.8272,0,0,0,1,0.000390438,44.9867,0,28,1,0,0,96.2268,74.9084,42.9419,268763136,1,0,0.111767,1,23.8143,206.843,206.843,52.9363,206.843,44.0932,4,2.85274,77.4409,0,45.8949,1,206.843,38.5048,0,0,0.154537,0.29936,0.0350196,43.4166,36.8271,1,99.3006,50.8689,206.843,206.843,0,0.155099,-0.00511873,0.115701,0.386359,0.0237295,43.4596,46.5959,1,36.827,0,36.8272,99.1916,98.773,0.708277,98.7563,2,0,-1,-1,0,1,234.741,0,0,0,0,0,0,5,0,0,12.4,0,0,0,0,0,206.843,0,0,6.74663,0.235135,0.389169,0,-1,0,0.0115467,35.3507252589295,-0.0389362,1,36.8276,1,1076.00274115623,0,-80.6852869704116,6,0.076494,1.0039,0,206.843,0,6.4,0,77,0,44275.2,1,0,0,1,4,0,206.843,44.9867,206.843,1,206.843,0,-0.0126039,0,0.00104417,1,6,0,74,1,6,0,0,0,1,0.111906,0,0,0,0,0.708277,0,0,0,1,99.9599,0,0,0,1,1,96.2268,206.843,0.154852,0.306166,0.00205574,41.2626,38.9742,36.8271,36.8271,36.8271,99.7083,99.9531,300,1,50.8689,0,0.151216,0.120196,0.0228961,44.7811,42.5195,0.93298,38.8502,36.8276,36.8275,99.1525,0,99.3217,99.9278,1,32.7086,0.0335005,0,-2.73312,0,32767,32767,32767,0,0,4,41095,2524.01392551043,3600,1,100,0,0,2,1.16084,2.32569,0.0204138,18.4382,0,50,0,0.130593,0.165958,0,0,0,0,0,1,45,0.0198966,0.00228388,-0.461721,0.569449,77,0,4.83984,-0.000208348,3.42206,0,0,0,0,0,206.843,0,206.843,0
