Track,Comparison,Stint,BestLap,LapTime_s
CLT,B vs. A,stint_1,1,96.46666666672417
CLT,B vs. A,stint_2,1,97.93333333341127
CLT,B vs. A,stint_3,2,96.06666666660718
CLT,B vs. A,stint_4,3,97.33333333324481
CLT,B vs. A,stint_5,2,96.76666666657866
CLT,C vs. B,stint_1,2,97.91666666661064
CLT,C vs. B,stint_2,6,98.01666666657752
CLT,C vs. B,stint_3,3,98.7833333332436
CLT,C vs. B,stint_4,3,98.31666666657725
CLT,C vs. B,stint_5,2,97.71666666661298
CLT,D vs. B,stint_1,7,107.88333333323521
CLT,D vs. B,stint_2,6,103.08333333323958
CLT,D vs. B,stint_3,4,100.26666666657553
CLT,D vs. B,stint_4,4,100.4499999999087
CLT,D vs. B,stint_5,3,101.46666666657438
CLT,E vs. B,stint_1,6,103.8333333332389
CLT,E vs. B,stint_2,3,104.3499999999051
CLT,E vs. B,stint_3,2,100.36666666657538
CLT,E vs. B,stint_4,4,101.86666666657408
CLT,E vs. B,stint_5,3,100.08333333324231
CLT,F vs. B,stint_1,4,101.28333333324127
CLT,F vs. B,stint_2,2,100.04999999990906
CLT,F vs. B,stint_3,2,100.71666666661406
CLT,F vs. B,stint_4,8,100.16666666657557
CLT,F vs. B,stint_5,5,100.31666666657543
SPT,B vs. A,stint_1,6,80.5833333332601
SPT,B vs. A,stint_2,4,80.41666666659353
SPT,B vs. A,stint_3,4,80.03333333326054
SPT,B vs. A,stint_4,3,80.25000000000338
SPT,B vs. A,stint_5,2,79.71666666672945
SPT,C vs. B,stint_1,11,82.09999999992544
SPT,C vs. B,stint_2,4,82.09999999992533
SPT,C vs. B,stint_3,3,80.98333333335123
SPT,C vs. B,stint_4,10,80.74999999992656
SPT,C vs. B,stint_5,9,81.11666666659289
SPT,D vs. B,stint_1,6,82.58333333325822
SPT,D vs. B,stint_2,6,81.91666666659216
SPT,D vs. B,stint_3,6,81.66666666659239
SPT,D vs. B,stint_4,12,80.84999999992647
SPT,D vs. B,stint_5,2,80.7166666667309
SPT,E vs. B,stint_1,3,83.33333333329446
SPT,E vs. B,stint_2,4,83.64999999992392
SPT,E vs. B,stint_3,4,82.3499999999251
SPT,E vs. B,stint_4,13,82.46666666659166
SPT,E vs. B,stint_5,2,82.86666666673261
SPT,F vs. B,stint_1,24,82.6333333340865
SPT,F vs. B,stint_2,2,81.00000000006062
SPT,F vs. B,stint_3,5,81.79999999992566
SPT,F vs. B,stint_4,5,81.49999999992588
SPT,F vs. B,stint_5,2,82.23333333339875
