Track,Comparison,Stint,Sector,N_Act,DeltaT_s
CLT,B vs. A,stint_1,0,3,0.030681445245870798
CLT,B vs. A,stint_1,1,4,0.045876131281792354
CLT,B vs. A,stint_1,2,3,-0.05058713773541612
CLT,B vs. A,stint_1,3,5,0.022162651377094278
CLT,B vs. A,stint_1,4,4,0.13352783891275521
CLT,B vs. A,stint_1,5,3,0.022795101932153727
CLT,B vs. A,stint_1,6,5,0.41405904259990933
CLT,B vs. A,stint_1,7,1,0.002661651907281737
CLT,B vs. A,stint_1,8,1,0.03243315527391388
CLT,B vs. A,stint_1,9,1,0.0405507361625439
CLT,B vs. A,stint_1,10,3,-0.06597770041754103
CLT,B vs. A,stint_1,11,4,0.1794424771028389
CLT,B vs. A,stint_1,12,0,-0.015755363105668607
CLT,B vs. A,stint_1,13,1,0.00323130631321078
CLT,B vs. A,stint_1,14,3,-0.007018555473493393
CLT,B vs. A,stint_1,15,4,0.18353389405989162
CLT,B vs. A,stint_1,16,4,0.0014908667358355387
CLT,B vs. A,stint_1,17,1,-0.0011206100202656444
CLT,B vs. A,stint_2,0,4,0.0274940816194853
CLT,B vs. A,stint_2,1,5,0.08243012296924945
CLT,B vs. A,stint_2,2,4,-0.029550274255106146
CLT,B vs. A,stint_2,3,2,0.13946693352621153
CLT,B vs. A,stint_2,4,4,-0.09551375775877702
CLT,B vs. A,stint_2,5,4,-0.09874445070844473
CLT,B vs. A,stint_2,6,4,0.7061032761500456
CLT,B vs. A,stint_2,7,2,0.08885585894884684
CLT,B vs. A,stint_2,8,2,0.05111512709786581
CLT,B vs. A,stint_2,9,2,0.04819366083923171
CLT,B vs. A,stint_2,10,4,0.020994444538530388
CLT,B vs. A,stint_2,11,5,0.4254148236498878
CLT,B vs. A,stint_2,12,2,0.3122404697131742
CLT,B vs. A,stint_2,13,2,0.22607349853072378
CLT,B vs. A,stint_2,14,4,0.06685804542311757
CLT,B vs. A,stint_2,15,5,0.15493570041674332
CLT,B vs. A,stint_2,16,5,0.17636427941917532
CLT,B vs. A,stint_2,17,4,0.1089206744602933
CLT,B vs. A,stint_3,0,4,0.04289193356452525
CLT,B vs. A,stint_3,1,3,-0.016058949217558904
