Track,Comparison,Stint,Rule_ID,Category,Fired
CLT,B vs. A,stint_1,AGGRESSIVE_UNSTABLE_BRAKE,Braking,4
CLT,B vs. A,stint_1,BRAKING_POINT_MISMATCH,Braking,1
CLT,B vs. A,stint_1,ENTRY_OVER_SLOW,Braking,5
CLT,B vs. A,stint_1,EXIT_SPEED_LEGACY,Legacy,2
CLT,B vs. A,stint_1,LATE_ROTATION,Rotation,9
CLT,B vs. A,stint_1,LATE_THROTTLE_LOW_SPEED,Traction,2
CLT,B vs. A,stint_1,LOW_BRAKE_EFFICIENCY,Braking,4
CLT,B vs. A,stint_1,OVER_BRAKING_PEAK,Braking,8
CLT,B vs. A,stint_1,POOR_TRAIL_BRAKING,Rotation,3
CLT,B vs. A,stint_1,ROTATION_INEFFICIENT,Rotation,3
CLT,B vs. A,stint_1,STEER_EFFICIENCY,Rotation,4
CLT,B vs. A,stint_1,THROTTLE_STEER_CONFLICT,Traction,5
CLT,B vs. A,stint_2,AGGRESSIVE_UNSTABLE_BRAKE,Braking,4
CLT,B vs. A,stint_2,BRAKING_POINT_MISMATCH,Braking,1
CLT,B vs. A,stint_2,ENTRY_OVER_SLOW,Braking,7
CLT,B vs. A,stint_2,EXIT_SPEED_LEGACY,Legacy,7
CLT,B vs. A,stint_2,LATE_ROTATION,Rotation,10
CLT,B vs. A,stint_2,LATE_THROTTLE_LOW_SPEED,Traction,5
CLT,B vs. A,stint_2,LOW_BRAKE_EFFICIENCY,Braking,4
CLT,B vs. A,stint_2,OVER_BRAKING_PEAK,Braking,7
CLT,B vs. A,stint_2,POOR_TRAIL_BRAKING,Rotation,2
CLT,B vs. A,stint_2,ROTATION_INEFFICIENT,Rotation,6
CLT,B vs. A,stint_2,STEER_EFFICIENCY,Rotation,6
CLT,B vs. A,stint_2,THROTTLE_STEER_CONFLICT,Traction,5
CLT,B vs. A,stint_3,AGGRESSIVE_UNSTABLE_BRAKE,Braking,2
