Param,Factor,Total,KendallTau,TrendPatternPreserved,Act_LATE_ROTATION,Act_LOW_BRAKE_EFFICIENCY,Act_POOR_TRAIL_BRAKING,Act_EXIT_SPEED_LEGACY,Act_BRAKING_POINT_MISMATCH,Act_OVER_BRAKING_PEAK,Act_ENTRY_OVER_SLOW,Act_AGGRESSIVE_UNSTABLE_BRAKE,Act_STEER_EFFICIENCY,Act_ROTATION_INEFFICIENT,Act_LATE_THROTTLE_LOW_SPEED,Act_THROTTLE_STEER_CONFLICT
MRP_DT,0.5,1978,1.0,True,367.0,,,,,,,,,,,
MRP_DT,0.75,1972,1.0,True,361.0,,,,,,,,,,,
MRP_DT,1.0,1944,1.0,True,333.0,,,,,,,,,,,
MRP_DT,1.25,1937,1.0,True,326.0,,,,,,,,,,,
MRP_DT,1.5,1926,1.0,True,315.0,,,,,,,,,,,
BRAKE_EFF_RATIO,0.5,2000,0.879,True,,160.0,,,,,,,,,,
BRAKE_EFF_RATIO,0.75,1969,0.939,True,,129.0,,,,,,,,,,
BRAKE_EFF_RATIO,1.0,1944,1.0,True,,104.0,,,,,,,,,,
BRAKE_EFF_RATIO,1.25,1935,0.97,True,,95.0,,,,,,,,,,
BRAKE_EFF_RATIO,1.5,1926,0.97,True,,86.0,,,,,,,,,,
TRAIL_RATIO,0.5,1972,0.939,True,,,126.0,,,,,,,,,
TRAIL_RATIO,0.75,1955,0.97,True,,,109.0,,,,,,,,,
TRAIL_RATIO,1.0,1944,1.0,True,,,98.0,,,,,,,,,
TRAIL_RATIO,1.25,1938,1.0,True,,,92.0,,,,,,,,,
TRAIL_RATIO,1.5,1923,0.97,True,,,77.0,,,,,,,,,
LEGACY_DV,0.5,1997,0.939,True,,,,209.0,,,,,,,,
LEGACY_DV,0.75,1965,0.939,True,,,,177.0,,,,,,,,
LEGACY_DV,1.0,1944,1.0,True,,,,156.0,,,,,,,,
LEGACY_DV,1.25,1926,1.0,True,,,,138.0,,,,,,,,
LEGACY_DV,1.5,1909,0.939,True,,,,121.0,,,,,,,,
LEGACY_BRAKE_GATE,0.5,1944,1.0,True,,,,156.0,,,,,,,,
LEGACY_BRAKE_GATE,0.75,1944,1.0,True,,,,156.0,,,,,,,,
LEGACY_BRAKE_GATE,1.0,1944,1.0,True,,,,156.0,,,,,,,,
LEGACY_BRAKE_GATE,1.25,1944,1.0,True,,,,156.0,,,,,,,,
LEGACY_BRAKE_GATE,1.5,1944,1.0,True,,,,156.0,,,,,,,,
BRAKE_DIST_TOL,0.5,2022,0.818,True,,,,,160.0,,,,,,,
